Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
HIGH,polynomial,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",4,0.981266557351101,0.1979818014643488,0.9656739163027904,0.24268081391351062,0.9240085812957267,0.02553355024689877,0.9811978156130717,0.34845620164576535,0.8633624069655772,0.6421847508455975,0.94693598871501,0.5960083242498219,0.9827053849847327,0.34845620164576535,0.8684566329978177,0.6421847508455975,0.9153697789372996,0.3819397367496935,0.9507895591208939,0.5960083242498219,0.11093599080226846,0.9993895581708253,0.1405705899112255,0.9974618467833304,0.899318880251075,0.9535925659122291,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3851248519259638
HIGH,polynomial,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",4,0.9844849888251374,0.18017416600106828,0.9714567563190946,0.22129671995545283,0.9137023054081435,0.05659748003040964,0.9807913492668209,0.35220253261652873,0.93678039976233,0.43681823512879697,0.9670486011728026,0.4696661005733332,0.9823315093312232,0.35220253261652873,0.9391374006881107,0.43681823512879697,0.9757307839264873,0.20453139522125705,0.9694415701979106,0.46966610057333325,0.11407144170887776,0.9993545639586056,0.1135994122949703,0.9983423949189972,0.3795005063257711,0.9917361037962478,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3826481610201253
HIGH,polynomial,u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",3,0.9711693398571274,0.24560871188137764,0.9631921239864981,0.251300696895327,0.8975478299563658,0.02282009377533272,0.9720101122826255,0.42515238797110233,0.904831904345885,0.5359454357494422,0.9028309075119876,0.8065222637481344,0.9742543567050065,0.42515238797110233,0.9083800332286722,0.5359454357494421,0.967370786608327,0.23715670561765517,0.9098874403693957,0.8065222637481343,0.20704939993066024,0.9978735885393841,0.14243094843882165,0.9973942206827949,0.14410486555394267,0.9988084358631741,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3796840295871478
HIGH,polynomial,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",3,0.979627964609657,0.20645893610759403,0.9408329685652116,0.31861278908420476,0.9042676586166002,0.05584119355824557,0.9628930702798892,0.4895212570784054,0.8236992186143932,0.7294608792360157,0.7216964512130079,1.3649340227099294,0.9658683240892979,0.4895212570784056,0.8302721976174166,0.7294608792360157,0.9325897365788115,0.34087497484508655,0.7419071796047643,1.3649340227099294,0.1225882814896905,0.9992545864796031,0.2012315826810891,0.9947985888296048,0.4116741683781463,0.9902754980419455,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.357382678517687
HIGH,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p']",3,0.9845712915655018,0.1796723549445208,0.9133710183160979,0.3855271066305745,0.9463325957972405,0.01731846515763065,0.9497835841399099,0.5694648213112322,0.9712683700145522,0.29447946783636164,0.9665530287065962,0.4731846914569353,0.9538099636789752,0.5694648213112323,0.9723395643628286,0.2944794678363616,0.987210189495227,0.1484787018192568,0.9689819867823527,0.4731846914569351,0.12082585677385659,0.9992758657006698,0.14261350451694096,0.9973875366620173,0.16334680215030956,0.9984689780830829,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.354805469698955
HIGH,polynomial,u_p_div_u_r + tau_r_div_tau_p,"['u_p_div_u_r', 'tau_r_div_tau_p']",2,0.9175374823988568,0.4153792223970199,0.9503484553664746,0.29187015996985766,0.8457035621419889,0.08504210437577779,0.73020238964929,1.319967061556887,0.8751436873463312,0.6138752721048394,0.5798968569745199,1.6769891489082431,0.7518349088046079,1.3199670615568873,0.8797986747775695,0.6138752721048394,0.9250143698113753,0.3595184060639207,0.6104052373283391,1.676989148908243,0.3077012455984145,0.99530367806248,0.17473964058855837,0.9960779621877462,0.2464044697869544,0.9965161672475876,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3446960259998912
HIGH,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",4,0.9863202447203019,0.1691825779130061,0.9162451741602206,0.3790776976343454,0.9322622012778319,0.03728727953533772,0.9663641588759992,0.4660636057684691,0.9872621537390488,0.19607530021436634,0.949133275321531,0.5835380425124844,0.9690610989136605,0.4660636057684691,0.9877370557522953,0.1960753002143663,0.98355875294024,0.1683447141363035,0.9528272762106165,0.5835380425124843,0.12109085292251592,0.9992726858642357,0.13657145119854802,0.9976042099958226,0.15149811449978529,0.9986830339182043,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3386475468456027
HIGH,polynomial,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_p']",5,0.9811880593691316,0.19839616538581537,0.9608673194024024,0.25911533330423386,0.8608306894073395,0.07824273710237187,0.9755510507371943,0.39735084804001025,0.7263592071540841,0.9087936989673465,0.9125691221522578,0.7650409931782514,0.9775113807881814,0.3973508480400102,0.7365612900468019,0.9087936989673464,0.8091150881342986,0.5736115766056045,0.918918454501541,0.7650409931782514,0.11580595673060473,0.9993347863539707,0.18664619445977973,0.9955252664603276,1.4988560876389083,0.871091959544344,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.333458390395835
HIGH,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",4,0.9844007784459041,0.1806624673782619,0.8869947831879889,0.44032420607705114,0.9460394082441197,0.017111496676636948,0.9406407039339403,0.6191393624525305,0.9650267995440064,0.32489466185009186,0.9566809317379422,0.5385076045393185,0.9454001645812234,0.6191393624525307,0.9663306968407687,0.32489466185009186,0.984396296504638,0.16400079426353847,0.9598268130127028,0.5385076045393185,0.12126650820964274,0.9992705742392437,0.15323246142606012,0.9969840061203266,0.18998602447615207,0.9979288886696664,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3183033376423852
HIGH,polynomial,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,"['u_r_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_r']",4,0.9803608799423629,0.20271107960176654,0.8876248981983232,0.4390948701559751,0.9384594853361476,0.01802762991011861,0.9311578881067285,0.6667624550799814,0.9236878542688546,0.47992317245196947,0.8288464433197344,1.0703979072909582,0.9366776860852498,0.6667624550799817,0.9265329813727973,0.4799231724519695,0.9167616606662312,0.3787859052090288,0.8412758142796983,1.0703979072909582,0.123258733927509,0.9992464106418106,0.16529352950329831,0.9964905374962129,0.6244956137273342,0.9776221211089151,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3150518778753852
HIGH,polynomial,u_p_x_tau_r + tau_r_div_tau_p + tau_r_div_u_p,"['u_p_x_tau_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",3,0.893927695179287,0.4711047432694467,0.9731335289529476,0.21469831041996407,0.7623991091089838,0.1459369956032189,0.9625250452510252,0.49194279373571587,0.9849686316014064,0.21299732373236402,0.9365127292184281,0.6519219682851384,0.9655298075074369,0.49194279373571587,0.9855290424407354,0.21299732373236402,0.9363985791096763,0.33110482981907396,0.9411232488891,0.6519219682851385,0.3233474870440665,0.9948139305051054,0.11861680419450182,0.9981927370802056,0.6377585596850668,0.9766615114487954,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3097393839471174
HIGH,polynomial,delta_peak_mm + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p']",4,0.985516173593475,0.17408370838661377,0.8905024478859178,0.43343653861448456,0.9248562034699149,0.04111020019799639,0.955668257399512,0.5350587197694958,0.9521111689844014,0.3801823975372026,0.9691528564721539,0.4544224346747339,0.9592228006356328,0.5350587197694959,0.9538965965830256,0.3801823975372027,0.9850315071054861,0.16062796027795564,0.9713930120225238,0.4544224346747339,0.11828598596115504,0.9993059896609087,0.1584965588277697,0.9967732258043638,0.23213377553586043,0.9969080190860525,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3088195296010756
HIGH,polynomial,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'tau_r_MPa', 'u_p_div_u_r', 'tau_r_div_tau_p']",4,0.9847057713844916,0.17888761046948246,0.8957284341946958,0.4229667827890398,0.9137959576269195,0.0438847370052053,0.9450057714990291,0.595940089049028,0.9622143597048006,0.33770561383298336,0.9568773305023817,0.5372854824994684,0.9494152386545489,0.595940089049028,0.9636231125096616,0.3377056138329833,0.9848625959326103,0.16153171672819547,0.9600089490697429,0.5372854824994683,0.12223425387410561,0.9992588856819203,0.15110609105871045,0.99706712980424,0.18050411329377436,0.9981304618134089,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.308237939307635
HIGH,polynomial,delta_peak_mm + u_p_x_tau_r + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_x_tau_r', 'tau_r_div_tau_p']",3,0.8874797079448018,0.4852124093540751,0.9569544464318834,0.27176120710258334,0.7697705767695794,0.13403681292926403,0.9498970955595117,0.5688208353782515,0.9156808564993281,0.5044730617593077,0.9596119636402618,0.5199704417055142,0.9539143736912085,0.5688208353782516,0.9188245065468602,0.5044730617593077,0.9508694247569421,0.29101007932282996,0.9625449899588295,0.5199704417055142,0.33559392667668697,0.9944136577768977,0.17226071896595785,0.9961884518435401,0.5198189913254315,0.9844952624690948,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2984360535237467
