Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9978029320673256,0.05847976576749159,0.9860065591860385,0.13789325801425706,0.9642508416480614,0.027982862441824234,0.9967075974927546,0.21813973321351618,0.9995116958411043,0.0870081759707921,0.993824344165149,0.3259751622936219,0.9972991124574591,0.21813973321351618,0.9995784278480601,0.08700817597079191,0.9839952653703166,0.19848435512297077,0.9949399500230025,0.3259751622936217,0.013392793015522148,0.9997955917093053,0.022485075420481854,0.9994718402445983,0.05297505445096013,0.9954127000473058,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4153336937658867
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_p']",6,0.9979614780178064,0.056330237361654434,0.9897103236281016,0.11824468618567903,0.9722930855233843,0.011719828901066447,0.9966578979783363,0.2197799991368356,0.9992550084586425,0.10747081035015381,0.9943207059663303,0.31260084286466927,0.9972583419869386,0.21977999913683557,0.9993568195528431,0.10747081035015392,0.9896389858194771,0.15969936005858681,0.9953466461841578,0.31260084286466927,0.01376244765037617,0.9997841522366426,0.01882813129371352,0.9996296681669788,0.03878634719036916,0.9975409232916223,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.414684883499687
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",4,0.9925381096513308,0.10777258831328042,0.97124375518531,0.19767277602666175,0.9678925568351272,0.008211305705952979,0.9870579278797841,0.4324941361601465,0.9892932045931421,0.4074221203313202,0.9723971391541717,0.6891599260088672,0.9893831081445131,0.4324941361601464,0.990756403160158,0.4074221203313202,0.9582778878624773,0.32046837988359655,0.977383478107736,0.689159926008867,0.028064113748853765,0.999102449575412,0.041004694209715836,0.9982435177572885,0.11096132764862775,0.9798739937219664,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4143689030322781
LOW_2,polynomial,u_r_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['u_r_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9969099477296839,0.06935324634278085,0.98087083785612,0.16122365011341136,0.9663528905587615,0.004857530265880911,0.9962056151272402,0.23417957090666316,0.9985711467697481,0.14883623077847122,0.9917944617350355,0.3757478508299808,0.9968873165380325,0.2341795709066632,0.9987664149073686,0.14883623077847094,0.9858658485328584,0.1865249414520326,0.993276757186731,0.37574785082998086,0.016441696631049545,0.9996919299676684,0.027583402123380646,0.999205173624654,0.044318187829321704,0.9967894583927541,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4135615301089126
LOW_2,polynomial,delta_peak_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['delta_peak_mm', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",5,0.9962974546141546,0.07591613285689312,0.981727290294392,0.1575731629187362,0.9663993124813857,0.020143242708890636,0.9934966519740956,0.30658211342759695,0.9971324988255873,0.2108466255715039,0.9899172621378239,0.4165164956580643,0.9946650472931788,0.3065821134275969,0.9975243736536642,0.2108466255715039,0.9786834124813242,0.22906613209459886,0.9917386656815201,0.4165164956580643,0.019443679087117183,0.9995691629119983,0.028378701110781748,0.9991586791798217,0.06971846020585253,0.9920547075281816,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4129126222641957
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p + tau_r_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_p']",5,0.9940005812145339,0.096635894514429,0.9773862262925413,0.17529409886474592,0.9704988510363549,0.008253523872522579,0.9920740822544433,0.33845668485153285,0.9905430076811446,0.38290529392353095,0.9826089244205697,0.5470237582246539,0.993498057283376,0.3384566848515329,0.9918354072352042,0.38290529392353073,0.9650647300961539,0.2932473480074385,0.9857505479678694,0.5470237582246538,0.025088835062867156,0.9992826729872551,0.03546695707744429,0.9986859119459671,0.09886992174212163,0.9840212539047496,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4118102994234665
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_p_div_tau_r', 'tau_p_div_u_p']",5,0.9948505602806865,0.08952902832279304,0.9782863933918358,0.17176977938339857,0.9622769854932152,0.01939705100178944,0.9915731478346403,0.34898840930997094,0.9969436744798005,0.21767805914773536,0.9864681289670362,0.48252730356724244,0.9930871210351201,0.3489884093099709,0.9973613541824149,0.21767805914773541,0.9629131242002653,0.30214274238419137,0.9889126036909839,0.48252730356724244,0.023441889461323345,0.9993737591113863,0.030547320786252424,0.9990251835264959,0.10971158734647211,0.9803247929070034,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4074851810382643
LOW_2,polynomial,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,"['u_p_x_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_div_u_p']",4,0.9956200640484906,0.08256914008258599,0.9682240408247025,0.20779261550525405,0.9616532316438485,0.015737168210850545,0.9885362579190194,0.407044151427504,0.986690196621689,0.45425600021790724,0.9899669401427093,0.4154891329037313,0.9905958405421917,0.40704415142750405,0.9885091241803435,0.45425600021790735,0.9681400733887994,0.28004281035580875,0.9917793695669372,0.41548913290373096,0.021423947918676647,0.9994769355544368,0.04326034746362493,0.9980449556433323,0.09515118672857252,0.9852006468599797,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4074769398255418
LOW_2,polynomial,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,"['u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_u_p']",5,0.9946584944869532,0.09118338747061161,0.97923711123747,0.16796727007668194,0.9584911364696881,0.011848108023757664,0.9916420205769862,0.34755934058835,0.9977288631676909,0.18764478667156856,0.9848071631230944,0.5112842388884655,0.9931436200601979,0.3475593405883501,0.9980392384043751,0.18764478667156842,0.9656925962891868,0.29060023981086414,0.987551684234786,0.5112842388884656,0.023976340106534724,0.9993448783170835,0.029169183876950083,0.9991111567780591,0.10191188425099057,0.9830228815919015,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4072978686699382
LOW_2,polynomial,delta_peak_mm + u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,"['delta_peak_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_p_div_u_p']",6,0.9981490567047988,0.05367603640746059,0.9817111586710743,0.15764270241729345,0.9723855058555304,0.013099371753913935,0.9966841067022684,0.21891654695222978,0.9979682818726879,0.17747883954087612,0.9938827840452618,0.3244291539371502,0.9972798420361636,0.21891654695222978,0.9982459379723422,0.17747883954087607,0.9724939018092538,0.26020553848639977,0.9949878329882985,0.3244291539371503,0.012926569949049454,0.9998095755131283,0.027430515894015337,0.9992139601578526,0.07797285893227848,0.990061948763148,44,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.4065939744234481
