Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_e_minus_c_equation
FULL,log_gap,1,u_r_mm,-0.16458766572981556
FULL,log_gap,1,u_p_x_tau_r,0.017477814738357373
FULL,log_gap,1,u_p_div_u_r,-7.048701844268398
FULL,log_gap,1,tau_p_div_tau_r,-0.3382371896673209
FULL,log_gap,1,sigma_n_div_tau_p,-0.001969837472697214
FULL,log_gap,1,sigma_n_div_tau_r,0.0017734329729363057
FULL,log_gap,2,u_r_mm,-0.16367663034531882
FULL,log_gap,2,u_p_x_tau_p,0.015880713700524192
FULL,log_gap,2,u_p_div_u_r,-7.106016964734508
FULL,log_gap,2,tau_p_div_tau_r,-0.4217675834729329
FULL,log_gap,2,sigma_n_div_tau_p,-0.0018647959293598363
FULL,log_gap,2,sigma_n_div_tau_r,0.0016890879877892843
FULL,log_gap,3,u_r_mm,-0.17272825493760893
FULL,log_gap,3,u_p_x_tau_r,0.03333914330734061
FULL,log_gap,3,tau_p_x_tau_r,-0.0021411599867010435
FULL,log_gap,3,u_p_div_u_r,-7.469736279485151
FULL,log_gap,3,tau_p_div_tau_r,-0.2313045965840971
FULL,log_gap,3,sigma_n_div_tau_r,0.0005483737062509685
FULL,log_gap,4,tau_peak_MPa_csds,-0.04064573243747892
FULL,log_gap,4,u_r_mm,-0.15442072122255596
FULL,log_gap,4,u_p_x_tau_r,0.03067412596526588
FULL,log_gap,4,u_p_div_u_r,-7.182065303795071
FULL,log_gap,4,u_p_div_tau_r,-0.007225040557976172
FULL,log_gap,4,sigma_n_div_tau_r,0.00030850933146567234
FULL,log_gap,5,u_r_mm,-0.14746832774639385
FULL,log_gap,5,u_p_x_tau_r,0.015857397297069694
FULL,log_gap,5,u_p_div_u_r,-7.075206093109765
FULL,log_gap,5,tau_p_div_tau_r,-0.2223149716523129
FULL,log_gap,5,u_p_div_tau_r,-0.004822778506036969
FULL,log_gap,5,sigma_n_div_tau_r,0.0004124009356354169
