Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_e_minus_c_equation
HIGH,log_gap,1,u_r_x_tau_r,-0.004096001102126988
HIGH,log_gap,1,u_p_div_u_r,-4.022323871003228
HIGH,log_gap,1,u_r_div_u_p,0.015917931468727622
HIGH,log_gap,1,tau_r_div_tau_p,5.029383492341731
HIGH,log_gap,1,u_r_div_tau_r,0.3305767103760268
HIGH,log_gap,1,tau_p_div_u_p,0.050202384067949045
HIGH,log_gap,2,u_r_x_tau_r,-0.0044476388544100205
HIGH,log_gap,2,u_p_div_u_r,-4.022668219049147
HIGH,log_gap,2,tau_r_div_tau_p,4.647900789787595
HIGH,log_gap,2,u_r_div_tau_r,0.2263194047769076
HIGH,log_gap,2,tau_p_div_u_r,-0.12018846267375513
HIGH,log_gap,2,tau_p_div_u_p,0.05656465050531086
HIGH,log_gap,3,u_r_x_tau_r,-0.005512075430464304
HIGH,log_gap,3,u_p_div_u_r,-4.889852422758013
HIGH,log_gap,3,u_r_div_u_p,0.07673520717310628
HIGH,log_gap,3,tau_r_div_tau_p,3.7319414365658883
HIGH,log_gap,4,u_r_x_tau_r,-0.004187193492612095
HIGH,log_gap,4,u_p_div_u_r,-4.098927871952313
HIGH,log_gap,4,tau_r_div_tau_p,3.650133046838717
HIGH,log_gap,4,tau_p_div_u_r,-0.20538575131322168
HIGH,log_gap,4,tau_p_div_u_p,0.05429653257722016
HIGH,log_gap,5,u_r_x_u_p,0.007578955115216015
HIGH,log_gap,5,u_r_x_tau_r,-0.008652495058818679
HIGH,log_gap,5,u_p_div_u_r,-5.138274444125625
HIGH,log_gap,5,u_r_div_u_p,0.07840227189619504
HIGH,log_gap,5,tau_r_div_tau_p,4.766714900046324
HIGH,log_gap,5,sigma_n_div_tau_p,0.008798312094081584
