Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
HIGH,1,u_r_x_tau_p,-0.14414883038265555
HIGH,1,u_p_div_u_r,-1.2628549866266499
HIGH,1,tau_r_div_tau_p,0.959146374056474
HIGH,1,tau_r_div_u_p,0.585218956299685
HIGH,1,u_r_x_tau_p^2,0.05298003999695878
HIGH,1,u_r_x_tau_p u_p_div_u_r,0.28440792191795994
HIGH,1,u_r_x_tau_p tau_r_div_tau_p,-0.008810073023397763
HIGH,1,u_r_x_tau_p tau_r_div_u_p,0.09593638288133799
HIGH,1,u_p_div_u_r^2,0.13661264194116712
HIGH,1,u_p_div_u_r tau_r_div_tau_p,0.45646358863909536
HIGH,1,u_p_div_u_r tau_r_div_u_p,0.17758374736124702
HIGH,1,tau_r_div_tau_p^2,0.11166893329812924
HIGH,1,tau_r_div_tau_p tau_r_div_u_p,-0.17998889091978842
HIGH,1,tau_r_div_u_p^2,-0.031315406946092035
HIGH,2,u_p_x_tau_r,-0.4731521034004709
HIGH,2,u_p_div_u_r,-0.9591557482904137
HIGH,2,tau_r_div_tau_p,1.0728618349267272
HIGH,2,tau_r_div_u_p,0.49041726595829177
HIGH,2,u_p_x_tau_r^2,0.12347949418905894
HIGH,2,u_p_x_tau_r u_p_div_u_r,0.15124732618326092
HIGH,2,u_p_x_tau_r tau_r_div_tau_p,0.2608976570550068
HIGH,2,u_p_x_tau_r tau_r_div_u_p,0.05745366115586238
HIGH,2,u_p_div_u_r^2,-0.13691087944013755
HIGH,2,u_p_div_u_r tau_r_div_tau_p,0.2777848640067167
HIGH,2,u_p_div_u_r tau_r_div_u_p,0.11456649808417342
HIGH,2,tau_r_div_tau_p^2,0.057222228777346354
HIGH,2,tau_r_div_tau_p tau_r_div_u_p,-0.1865679591516877
HIGH,2,tau_r_div_u_p^2,-0.0044341309596034224
HIGH,3,u_p_div_u_r,-1.2278818413890789
HIGH,3,tau_r_div_tau_p,0.89926600223646
HIGH,3,tau_r_div_u_p,0.6693326562514644
HIGH,3,u_p_div_u_r^2,0.048164347872518054
HIGH,3,u_p_div_u_r tau_r_div_tau_p,0.6521112201601745
HIGH,3,u_p_div_u_r tau_r_div_u_p,0.0781020946728403
HIGH,3,tau_r_div_tau_p^2,-0.005979868620391725
HIGH,3,tau_r_div_tau_p tau_r_div_u_p,-0.011101201105643757
HIGH,3,tau_r_div_u_p^2,-0.09087572789343126
HIGH,4,u_p_x_tau_r,-0.7185478021425633
HIGH,4,u_p_div_u_r,-1.1019768756724961
HIGH,4,tau_r_div_tau_p,1.1641864442434315
HIGH,4,u_p_x_tau_r^2,0.21255431132857366
HIGH,4,u_p_x_tau_r u_p_div_u_r,0.20087242083364087
HIGH,4,u_p_x_tau_r tau_r_div_tau_p,0.07291089972618273
HIGH,4,u_p_div_u_r^2,-0.20240416791328594
HIGH,4,u_p_div_u_r tau_r_div_tau_p,0.3682230399336278
HIGH,4,tau_r_div_tau_p^2,0.020826394512051833
HIGH,5,delta_peak_mm,-0.8587700497665443
HIGH,5,u_p_div_u_r,-1.033969519214633
HIGH,5,tau_r_div_tau_p,1.072954930929024
HIGH,5,delta_peak_mm^2,0.15513047236775068
HIGH,5,delta_peak_mm u_p_div_u_r,0.05422819576775672
HIGH,5,delta_peak_mm tau_r_div_tau_p,0.306355575432555
HIGH,5,u_p_div_u_r^2,0.00666312117620403
HIGH,5,u_p_div_u_r tau_r_div_tau_p,0.32225357479616046
HIGH,5,tau_r_div_tau_p^2,0.09669645822168142
