Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
LOW_1,1,delta_peak_mm,-1.345755294347328
LOW_1,1,u_p_div_u_r,-1.2538625866986683
LOW_1,1,tau_r_div_tau_p,0.6223254707678463
LOW_1,1,tau_p_div_u_r,0.17857504826767034
LOW_1,1,sigma_n_div_u_p,-0.1691638652252218
LOW_1,1,delta_peak_mm^2,0.030034540188570817
LOW_1,1,delta_peak_mm u_p_div_u_r,0.1973301647054533
LOW_1,1,delta_peak_mm tau_r_div_tau_p,0.004104740308423744
LOW_1,1,delta_peak_mm tau_p_div_u_r,-0.43388796144527486
LOW_1,1,delta_peak_mm sigma_n_div_u_p,-0.07335198105380768
LOW_1,1,u_p_div_u_r^2,0.07844098665172101
LOW_1,1,u_p_div_u_r tau_r_div_tau_p,0.2881095745630805
LOW_1,1,u_p_div_u_r tau_p_div_u_r,-0.23634046581294077
LOW_1,1,u_p_div_u_r sigma_n_div_u_p,0.16935904002724686
LOW_1,1,tau_r_div_tau_p^2,0.08421729557009522
LOW_1,1,tau_r_div_tau_p tau_p_div_u_r,0.020539034343880894
LOW_1,1,tau_r_div_tau_p sigma_n_div_u_p,-0.20896204491263604
LOW_1,1,tau_p_div_u_r^2,-0.125415362534687
LOW_1,1,tau_p_div_u_r sigma_n_div_u_p,-0.17022911635662755
LOW_1,1,sigma_n_div_u_p^2,0.03229477746148035
LOW_1,2,delta_peak_mm,-1.3616494952224203
LOW_1,2,u_p_div_u_r,-1.2676197409744325
LOW_1,2,tau_r_div_tau_p,0.6288416869293608
LOW_1,2,tau_p_div_u_r,0.16191747153375868
LOW_1,2,sigma_n_div_tau_r,0.03114842343632434
LOW_1,2,delta_peak_mm^2,0.01953216940188477
LOW_1,2,delta_peak_mm u_p_div_u_r,0.21611837747794102
LOW_1,2,delta_peak_mm tau_r_div_tau_p,0.009206203834114716
LOW_1,2,delta_peak_mm tau_p_div_u_r,-0.42696612136476086
LOW_1,2,delta_peak_mm sigma_n_div_tau_r,-0.16757491451048886
LOW_1,2,u_p_div_u_r^2,0.07559731242088395
LOW_1,2,u_p_div_u_r tau_r_div_tau_p,0.30351827164958317
