Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_e_minus_c_equation
LOW_2,log_gap,1,u_p_x_tau_p,-0.11122904110028373
LOW_2,log_gap,1,u_p_div_u_r,-4.070365531312626
LOW_2,log_gap,1,tau_r_div_tau_p,2.417047670340785
LOW_2,log_gap,1,tau_p_div_u_p,0.05781930332419973
LOW_2,log_gap,2,u_p_x_tau_p,-0.10603829566487274
LOW_2,log_gap,2,u_p_div_u_r,-4.130897322647946
LOW_2,log_gap,2,tau_p_div_tau_r,0.6001292858988325
LOW_2,log_gap,2,tau_r_div_tau_p,3.791499125807657
LOW_2,log_gap,2,tau_p_div_u_p,0.06223416461657435
LOW_2,log_gap,3,u_p_x_tau_p,-0.10865127511707674
LOW_2,log_gap,3,tau_p_x_tau_r,-0.007293792252240565
LOW_2,log_gap,3,u_p_div_u_r,-4.033628701399067
LOW_2,log_gap,3,tau_r_div_tau_p,2.5301904169456355
LOW_2,log_gap,3,tau_p_div_u_p,0.0625020449247108
LOW_2,log_gap,4,tau_peak_MPa_csds,-0.05329074739486785
LOW_2,log_gap,4,u_p_x_tau_p,-0.10859087377918736
LOW_2,log_gap,4,u_p_div_u_r,-4.033025074145083
LOW_2,log_gap,4,tau_r_div_tau_p,2.387143382355247
LOW_2,log_gap,4,tau_p_div_u_p,0.0626016393111302
LOW_2,log_gap,5,tau_r_MPa,-0.04529375688870119
LOW_2,log_gap,5,u_p_x_tau_p,-0.10970805429353517
LOW_2,log_gap,5,u_p_div_u_r,-4.0456983300334
LOW_2,log_gap,5,tau_r_div_tau_p,2.5981322067095762
LOW_2,log_gap,5,tau_p_div_u_p,0.06079035170382274
