model_key,dataset,method,model_name,plot_type,target,plot_file
best_by_method_FULL_methodologie_1_FULL_poly_rank_1,FULL,methodologie_1,FULL_poly_rank_1,scalar_residual_diagnostics,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_1_FULL_poly_rank_1/d_residual_diagnostics.png
best_by_method_FULL_methodologie_1_FULL_poly_rank_1,FULL,methodologie_1,FULL_poly_rank_1,residual_order_plot,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_1_FULL_poly_rank_1/d_residual_order.png
best_by_method_FULL_methodologie_1_FULL_poly_rank_1,FULL,methodologie_1,FULL_poly_rank_1,scalar_residual_diagnostics,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_1_FULL_poly_rank_1/e_residual_diagnostics.png
best_by_method_FULL_methodologie_1_FULL_poly_rank_1,FULL,methodologie_1,FULL_poly_rank_1,residual_order_plot,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_1_FULL_poly_rank_1/e_residual_order.png
best_by_method_FULL_methodologie_1_FULL_poly_rank_1,FULL,methodologie_1,FULL_poly_rank_1,scalar_residual_diagnostics,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_1_FULL_poly_rank_1/b_residual_diagnostics.png
best_by_method_FULL_methodologie_1_FULL_poly_rank_1,FULL,methodologie_1,FULL_poly_rank_1,residual_order_plot,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_1_FULL_poly_rank_1/b_residual_order.png
best_by_method_FULL_methodologie_1_FULL_poly_rank_1,FULL,methodologie_1,FULL_poly_rank_1,curve_metric_distributions,tau_u,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_1_FULL_poly_rank_1/curve_metric_distributions.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,scalar_residual_diagnostics,z,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/z_residual_diagnostics.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,residual_order_plot,z,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/z_residual_order.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,scalar_residual_diagnostics,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/d_residual_diagnostics.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,residual_order_plot,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/d_residual_order.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,scalar_residual_diagnostics,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/e_residual_diagnostics.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,residual_order_plot,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/e_residual_order.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,scalar_residual_diagnostics,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/b_residual_diagnostics.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,residual_order_plot,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/b_residual_order.png
best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4,FULL,methodologie_2,FULL_direct_poly_rank_4,curve_metric_distributions,tau_u,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_FULL_methodologie_2_FULL_direct_poly_rank_4/curve_metric_distributions.png
best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,HIGH,methodologie_1,HIGH_poly_rank_2,scalar_residual_diagnostics,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2/d_residual_diagnostics.png
best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,HIGH,methodologie_1,HIGH_poly_rank_2,residual_order_plot,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2/d_residual_order.png
best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,HIGH,methodologie_1,HIGH_poly_rank_2,scalar_residual_diagnostics,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2/e_residual_diagnostics.png
best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,HIGH,methodologie_1,HIGH_poly_rank_2,residual_order_plot,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2/e_residual_order.png
best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,HIGH,methodologie_1,HIGH_poly_rank_2,scalar_residual_diagnostics,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2/b_residual_diagnostics.png
best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,HIGH,methodologie_1,HIGH_poly_rank_2,residual_order_plot,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2/b_residual_order.png
best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2,HIGH,methodologie_1,HIGH_poly_rank_2,curve_metric_distributions,tau_u,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_1_HIGH_poly_rank_2/curve_metric_distributions.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,scalar_residual_diagnostics,z,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/z_residual_diagnostics.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,residual_order_plot,z,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/z_residual_order.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,scalar_residual_diagnostics,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/d_residual_diagnostics.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,residual_order_plot,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/d_residual_order.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,scalar_residual_diagnostics,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/e_residual_diagnostics.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,residual_order_plot,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/e_residual_order.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,scalar_residual_diagnostics,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/b_residual_diagnostics.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,residual_order_plot,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/b_residual_order.png
best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1,HIGH,methodologie_2,HIGH_direct_poly_rank_1,curve_metric_distributions,tau_u,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_HIGH_methodologie_2_HIGH_direct_poly_rank_1/curve_metric_distributions.png
best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,LOW_1,methodologie_1,LOW_1_poly_rank_4,scalar_residual_diagnostics,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4/d_residual_diagnostics.png
best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,LOW_1,methodologie_1,LOW_1_poly_rank_4,residual_order_plot,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4/d_residual_order.png
best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,LOW_1,methodologie_1,LOW_1_poly_rank_4,scalar_residual_diagnostics,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4/e_residual_diagnostics.png
best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,LOW_1,methodologie_1,LOW_1_poly_rank_4,residual_order_plot,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4/e_residual_order.png
best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,LOW_1,methodologie_1,LOW_1_poly_rank_4,scalar_residual_diagnostics,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4/b_residual_diagnostics.png
best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,LOW_1,methodologie_1,LOW_1_poly_rank_4,residual_order_plot,b,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4/b_residual_order.png
best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4,LOW_1,methodologie_1,LOW_1_poly_rank_4,curve_metric_distributions,tau_u,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_1_LOW_1_poly_rank_4/curve_metric_distributions.png
best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,scalar_residual_diagnostics,z,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3/z_residual_diagnostics.png
best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,residual_order_plot,z,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3/z_residual_order.png
best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,scalar_residual_diagnostics,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3/d_residual_diagnostics.png
best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,residual_order_plot,d,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3/d_residual_order.png
best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,scalar_residual_diagnostics,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3/e_residual_diagnostics.png
best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3,LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,residual_order_plot,e,/Users/hariderarako/Desktop/python/results/residual-analysis/plots/best_by_method_LOW_1_methodologie_2_LOW_1_direct_poly_rank_3/e_residual_order.png
