,count,mean,std,min,25%,50%,75%,max,missing
sigma_n_MPa,69.0,304.1439130434782,1223.9416049558147,1.79,5.0,5.0,5.0,5516.0,0
log_sigma_n_MPa,69.0,1.9692757860045262,1.6523153355498943,0.5822156198526637,1.6094379124341003,1.6094379124341003,1.6094379124341003,8.615408238913192,0
delta_peak_mm,69.0,0.9192753623188404,0.890406911012137,0.23,0.33,0.47,1.3,4.54,0
log_delta_peak_mm,69.0,-0.43975354488092744,0.8119244368227664,-1.4696759700589417,-1.1086626245216111,-0.7550225842780328,0.26236426446749106,1.5129270120532565,0
u_r_mm,69.0,3.910159688487425,4.364527962691433,2.0033333333333334,2.175,2.2,2.7136738646335887,28.00018033053748,0
log_u_r_mm,69.0,1.0911563975318401,0.6079943145485608,0.6948124598790065,0.7770286645406473,0.7884573603642703,0.9983033864077167,3.3322109505308033,0
tau_peak_MPa_csds,69.0,4.833782608695652,0.6423706981258888,3.7,4.37,4.91,5.29,6.22,0
log_tau_peak_MPa_csds,69.0,1.566805311539379,0.13444438907864048,1.308332819650179,1.4747630091074988,1.5912739418064292,1.665818245870208,1.827769906751088,0
tau_r_MPa,69.0,3.868174500378564,0.6675047158047739,1.3488617496840016,3.634,4.0125,4.293333333333333,4.84,0
log_tau_r_MPa,69.0,1.3330565330083006,0.21763566442800358,0.29926108841859556,1.2903339699739793,1.3894144884561344,1.4570634320080977,1.5769147207285403,0
c_target,69.0,1.8967410284251154,0.6473188801804396,0.178570278511632,1.8425206010063853,2.2727272727272725,2.298850574712644,2.4958402662229617,0
d_csds,69.0,14.790186164065231,24.101583568998418,4.343103435426621,6.174917494621263,7.408370023650559,10.103502878345669,142.19939252357494,0
log_d_csds,69.0,2.238979041293824,0.7425403743678384,1.4685891698536062,1.8204955212298422,2.0026104452933486,2.3128821833573703,4.957230245373904,0
e_csds,69.0,6.709552485545068,4.323594411829527,0.6512771868667829,2.5046228694450243,6.676100463922199,10.177837650659969,15.255568277966066,0
e_minus_c_csds,69.0,4.812811457119951,3.9318405981234696,0.08267414276697149,1.220680522652775,4.460650620335214,7.6819973844370075,12.956717703253423,0
log_e_minus_c_csds,69.0,0.9994978001321625,1.3175371973521839,-2.49284838887718,0.1994085086826267,1.4952946343915932,2.0388795894442238,2.561614395209624,0
